type,feature,magnitude,mae_normal,mae_anomaly,snr,maha_dist,is_freeze,detected_recon,detected_maha,detected
spike,dynamic_tensile_strength,0.1,0.013416662812232971,0.014539257623255253,1.0836716062005467,18.45976604374705,True,False,True,True
spike,dynamic_tensile_strength,0.1,0.045749034732580185,0.05098399147391319,1.1144276738843903,27.74912289725195,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.05755013972520828,0.056727588176727295,0.9857072017875937,84.78619742699597,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.0875013917684555,0.0891820415854454,1.019207109324959,73.79123598716907,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.006487423554062843,0.008886432275176048,1.369793544590941,3.579490253723385,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.031774476170539856,0.0323396697640419,1.0177876284311005,4.706446337749149,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.004487254656851292,0.006622625980526209,1.4758744513285225,4.826896061501561,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.012042688205838203,0.01312060933560133,1.089508257776889,3.664922297664101,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.019240418449044228,0.019102824851870537,0.9928486695657498,4.408604483378857,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008446915075182915,0.010475489310920238,1.2401554860592594,2.0282972595408677,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.009273198433220387,0.009877705946564674,1.0651885595362804,1.190900110450698,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.006090517621487379,0.007556290831416845,1.2406645970604564,2.7380877288844605,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.048568226397037506,0.052594128996133804,1.0828916724957902,27.39501133120177,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.01713966764509678,0.019199863076210022,1.1202003652330008,2.004080610278856,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.004581943619996309,0.006800204515457153,1.484130664910269,1.95637385670341,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.0171028021723032,0.018992608413100243,1.1104968128182315,2.15665571894854,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.041556186974048615,0.0427023321390152,1.027580589578677,31.931171302191117,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.0062589459121227264,0.008402250707149506,1.3424384045941484,3.4854278703260437,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.11377035081386566,0.11544797569513321,1.0147457035556349,73.91181415848361,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.006345144938677549,0.008686020970344543,1.3689237496332318,1.1223350671292904,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.016696810722351074,0.016814010217785835,1.0070192140501815,0.864312117674499,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.012216418981552124,0.014073160476982594,1.1519872841826257,3.78690748200406,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005594541318714619,0.007756049744784832,1.3863600099760855,4.129307929558894,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.07827568054199219,0.07982835173606873,1.0198359204735072,78.2677649499802,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.02752155438065529,0.03919096663594246,1.4240098749465853,13.252892649976198,True,True,False,True
spike,dynamic_tensile_strength,0.1,0.007862021215260029,0.010135562159121037,1.289180045745497,1.6510024664396885,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.011862939223647118,0.01356030534952879,1.1430813182804556,3.8056912480225735,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.007623914163559675,0.009967279620468616,1.307370216828961,3.1237392512311404,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.08313119411468506,0.08483072370290756,1.0204439330612038,75.7467680876716,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.013460145331919193,0.01590883918106556,1.1819217108613131,3.766055671833844,False,False,False,False
spike,dynamic_tensile_strength,0.1,0.004385638516396284,0.006593450903892517,1.503418345087881,1.842049745404013,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.07559968531131744,0.07726044207811356,1.0219677600242567,78.87869465963658,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.006747020874172449,0.00868493877351284,1.2872255249028794,2.2112602641387644,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.020523132756352425,0.019837437197566032,0.9665890907827782,4.3648498815513515,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.009633954614400864,0.010372838005423546,1.0766956399423513,1.2549955543609943,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005796816200017929,0.007946169935166836,1.3707815273426698,1.757922896713101,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008113057352602482,0.008746996521949768,1.0781380019464466,1.0868316793741986,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.03710104152560234,0.038345977663993835,1.0335552602742202,85.3025573270946,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.011766936630010605,0.013604032807052135,1.1561234736518167,3.8080581636071766,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005566466134041548,0.00782099086791277,1.405018781137457,1.4957585333696855,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.08774127811193466,0.08942703157663345,1.0192127637271873,73.42743643530405,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.00576725834980607,0.00791950710117817,1.373183798548,1.724402635942935,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.01556908618658781,0.01696925051510334,1.0899322684583408,4.288517391754267,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.00947798602283001,0.010945264250040054,1.1548089508537789,2.758531880961317,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.013151782564818859,0.015296312980353832,1.1630599686320575,4.198954107627225,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.006274546962231398,0.008279457688331604,1.3195305443784042,1.984786742568889,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.041099000722169876,0.042483847588300705,1.0336953650478524,31.419761493611336,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.0076959445141255856,0.010731169953942299,1.394392662246073,1.5666296067509513,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005551605951040983,0.007662022951990366,1.380145067826471,1.7845222782127572,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008831995539367199,0.009547680616378784,1.0810331020649226,1.2718904244620932,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.016821788623929024,0.016986526548862457,1.0097930677184963,0.8570460363593552,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.025312606245279312,0.02715207450091839,1.072670003441946,5.223709278697023,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.0305924229323864,0.03166207671165466,1.0349646298584365,85.55159215329704,True,False,True,True
spike,dynamic_tensile_strength,0.1,0.030757350847125053,0.0319039411842823,1.037278545398063,85.64606755535473,True,False,True,True
spike,dynamic_tensile_strength,0.1,0.007842066697776318,0.010064797475934029,1.2834366985620367,4.174704594838158,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.007735476829111576,0.009803825058043003,1.2673845461940878,2.5992152176907894,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.010823510587215424,0.012602956965565681,1.1644055502700357,3.6424468849179426,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008151905611157417,0.008762017823755741,1.0748427627670896,1.238437332439865,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008505141362547874,0.009300467558205128,1.0935110973755646,1.227638035597095,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.007146228104829788,0.009179634042084217,1.2845423659703479,2.586106284425387,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.020657459273934364,0.020091824233531952,0.9726183164386315,4.364683177606999,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.019888145849108696,0.019473517313599586,0.9791519270923077,4.408156611267201,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008639434352517128,0.010679482482373714,1.2361319978234704,2.110584841389098,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.015091675333678722,0.014925573952496052,0.9889937752765082,0.8831066352248742,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.01223090011626482,0.014664201997220516,1.198946983368205,3.617614686449943,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.006566732190549374,0.008686009794473648,1.3227292083336455,1.7769368971815735,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.004578718449920416,0.006745486985892057,1.4732256605084861,4.234015854707876,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.00480471458286047,0.006953854579478502,1.4472978596869515,4.557497740076391,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.018417613580822945,0.01885727234184742,1.023871590921566,4.0890343999432694,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.0064931162633001804,0.00847663264721632,1.3054796800185926,2.2733020830819273,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.01979883573949337,0.019228296354413033,0.971183136030297,4.3634087706045,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005559983197599649,0.0076392460614442825,1.3739690240023146,1.7170567897309896,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.009396165609359741,0.0116987070068717,1.2450510397738526,4.087328875003198,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.005564925726503134,0.007991142570972443,1.435983430458191,1.590242782048799,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.0967850461602211,0.0984613224864006,1.0173195692450772,72.64510826020225,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.006281305104494095,0.008304334245622158,1.3220712551615093,1.9780353039972798,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.009117172099649906,0.009741595946252346,1.068488646620784,1.2270873596412102,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.08973368257284164,0.09134392440319061,1.0179446643248724,76.91407674606741,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.014823573641479015,0.01823197677731514,1.2299311885473836,8.283202931220671,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.04256061092019081,0.044164128601551056,1.037676072053831,17.300023032865596,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.03373780846595764,0.034780580550432205,1.0309080850529655,85.42866099133946,True,False,True,True
spike,dynamic_tensile_strength,0.1,0.009150802157819271,0.010007571429014206,1.0936276582960738,1.0156147145604009,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.00678659463301301,0.008792952634394169,1.2956352654372612,2.1823245071894153,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.024404345080256462,0.026008503511548042,1.0657324488849702,6.0227423536622995,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008598013781011105,0.010618826374411583,1.2350323469858977,2.084544410820464,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.0084031131118536,0.010530338622629642,1.2531471645464554,4.323538024057991,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.07580943405628204,0.07749196887016296,1.0221942534281094,78.1982324078547,True,True,True,True
